Phosphate Price (Dollars américains par tonne métrique),Diesel Price (Dollars US par gallon),Phosphate ROC,Diesel ROC,Phosphate / Diesel Price Ratio,Month,Year
111.0,2.88,-0.36,-2.8,38.5551,7,2014
111.0,2.85,0.0,-1.01,38.9474,8,2014
111.38,2.74,0.34,-3.86,40.6496,9,2014
116.0,2.53,4.15,-7.59,45.8136,10,2014
119.5,2.43,3.02,-4.03,49.177,11,2014
119.5,2.03,0.0,-16.3,58.7512,12,2014
119.5,1.68,0.0,-17.5,71.2157,1,2015
121.25,1.99,1.46,18.65,60.899,2,2015
123.0,1.86,1.44,-6.78,66.2716,3,2015
114.13,1.84,-7.22,-0.7,61.9235,4,2015
110.5,1.97,-3.18,6.62,56.2341,5,2015
118.9,1.89,7.6,-3.92,62.9767,6,2015
121.0,1.68,1.77,-10.81,71.8527,7,2015
121.0,1.52,0.0,-9.98,79.8153,8,2015
124.0,1.52,2.48,0.0,81.7942,9,2015
123.5,1.47,-0.4,-2.9,83.8995,10,2015
123.5,1.41,0.0,-4.01,87.4027,11,2015
123.5,1.14,0.0,-19.46,108.5237,12,2015
122.6,0.98,-0.73,-13.97,125.2298,1,2016
114.5,1.04,-6.61,5.82,110.5212,2,2016
114.5,1.19,0.0,14.86,96.2185,3,2016
114.13,1.25,-0.32,4.79,91.5237,4,2016
110.5,1.42,-3.18,14.11,77.6529,5,2016
110.5,1.49,0.0,4.78,74.1113,6,2016
110.5,1.37,0.0,-8.12,80.6569,7,2016
109.75,1.4,-0.68,2.12,78.4489,8,2016
109.0,1.42,-0.68,1.36,76.8688,9,2016
109.0,1.56,0.0,9.94,69.9166,10,2016
103.0,1.46,-5.5,-6.16,70.4033,11,2016
97.5,1.64,-5.34,12.24,59.3788,12,2016
96.88,1.62,-0.64,-1.16,59.6919,1,2017
95.0,1.62,-1.94,0.06,58.4975,2,2017
97.5,1.53,2.63,-5.91,63.8089,3,2017
95.63,1.59,-1.92,3.8,60.2963,4,2017
92.5,1.51,-3.27,-4.54,61.0964,5,2017
92.5,1.42,0.0,-6.41,65.2788,6,2017
92.5,1.52,0.0,7.34,60.8153,7,2017
88.75,1.63,-4.05,7.23,54.4145,8,2017
85.0,1.79,-4.23,9.81,47.4595,9,2017
80.0,1.8,-5.88,0.45,44.4692,10,2017
80.0,1.92,0.0,6.5,41.7537,11,2017
80.0,1.94,0.0,1.46,41.1523,12,2017
80.0,2.07,0.0,6.69,38.5728,1,2018
82.5,1.94,3.13,-6.61,42.5916,2,2018
84.7,1.93,2.67,-0.36,43.886,3,2018
88.0,2.08,3.9,7.72,42.328,4,2018
88.0,2.23,0.0,7.26,39.4619,5,2018
86.8,2.15,-1.36,-3.77,40.4474,6,2018
86.88,2.14,0.09,-0.28,40.5981,7,2018
87.5,2.15,0.71,0.61,40.641,8,2018
87.5,2.25,0.0,4.6,38.8544,9,2018
91.25,2.33,4.29,3.55,39.1295,10,2018
92.5,2.05,1.37,-12.18,45.166,11,2018
99.17,1.8,7.21,-12.06,55.0639,12,2018
102.5,1.85,3.36,2.5,55.5255,1,2019
102.5,1.96,0.0,6.28,52.2426,2,2019
98.5,1.99,-3.9,1.33,49.5473,3,2019
97.5,2.06,-1.02,3.72,47.2842,4,2019
97.5,2.03,0.0,-1.5,48.0059,5,2019
97.5,1.85,0.0,-9.11,52.8169,6,2019
80.0,1.92,-17.95,4.01,41.6667,7,2019
78.0,1.82,-2.5,-5.0,42.7632,8,2019
77.5,1.94,-0.64,6.36,39.9485,9,2019
77.5,1.94,0.0,-0.15,40.0103,10,2019
74.0,1.93,-4.52,-0.21,38.2825,11,2019
72.5,1.99,-2.03,2.85,36.4688,12,2019
72.5,1.86,0.0,-6.64,39.0625,1,2020
72.5,1.62,0.0,-12.61,44.6979,2,2020
71.88,1.19,-0.86,-26.63,60.4034,3,2020
70.75,0.88,-1.57,-26.05,80.3977,4,2020
72.9,0.89,3.04,0.8,82.1872,5,2020
75.0,1.12,2.88,26.72,66.726,6,2020
75.0,1.24,0.0,10.32,60.4839,7,2020
76.88,1.23,2.51,-1.13,62.708,8,2020
79.38,1.12,3.25,-8.48,70.7487,9,2020
80.0,1.15,0.78,2.85,69.3241,10,2020
82.5,1.24,3.13,7.54,66.4787,11,2020
83.33,1.44,1.01,16.36,57.7078,12,2020
85.0,1.58,2.0,9.07,53.9683,1,2021
88.13,1.79,3.68,13.52,49.2897,2,2021
96.25,1.85,9.21,3.64,51.9428,3,2021
95.0,1.86,-1.3,0.43,51.0478,4,2021
102.5,2.02,7.89,8.76,50.6423,5,2021
125.0,2.12,21.95,4.79,58.9345,6,2021
125.0,2.13,0.0,0.28,58.7682,7,2021
136.88,2.07,9.5,-2.77,66.1896,8,2021
147.5,2.2,7.76,6.43,67.015,9,2021
147.5,2.52,0.0,14.63,58.4622,10,2021
153.13,2.39,3.82,-5.23,64.0443,11,2021
176.67,2.25,15.37,-5.86,78.4851,12,2021
173.13,2.62,-2.0,16.22,66.1812,1,2022
172.5,2.87,-0.36,9.79,60.0627,2,2022
178.75,3.78,3.62,31.62,47.2884,3,2022
249.5,4.04,39.58,6.93,61.7269,4,2022
255.0,4.65,2.2,14.94,54.8859,5,2022
287.5,4.36,12.75,-6.11,65.9101,6,2022
320.0,3.7,11.3,-15.27,86.5801,7,2022
320.0,3.6,0.0,-2.71,88.9878,8,2022
320.0,3.44,0.0,-4.48,93.1587,9,2022
317.5,4.35,-0.78,26.49,73.0725,10,2022
300.0,4.06,-5.51,-6.49,73.8371,11,2022
300.0,3.12,0.0,-23.28,96.2464,12,2022
300.0,3.27,0.0,4.81,91.8274,1,2023
322.5,2.83,7.5,-13.31,113.8771,2,2023
345.0,2.75,6.98,-3.0,125.5916,3,2023
345.0,2.59,0.0,-5.61,133.0505,4,2023
345.0,2.35,0.0,-9.53,147.0588,5,2023
344.5,2.43,-0.14,3.67,141.653,6,2023
