Mois,Phosphate Price (Dollars américains par tonne métrique),Diesel Price (Dollars US par gallon),Phosphate ROC,Diesel ROC,Phosphate / Diesel Price Ratio
July,110.5,1.37,0.0,-8.12,80.6569
August,109.75,1.4,-0.68,2.12,78.4489
September,109.0,1.42,-0.68,1.36,76.8688
October,109.0,1.56,0.0,9.94,69.9166
November,103.0,1.46,-5.5,-6.16,70.4033
December,97.5,1.64,-5.34,12.24,59.3788
January,96.88,1.62,-0.64,-1.16,59.6919
February,95.0,1.62,-1.94,0.06,58.4975
March,97.5,1.53,2.63,-5.91,63.8089
April,95.63,1.59,-1.92,3.8,60.2963
May,92.5,1.51,-3.27,-4.54,61.0964
June,92.5,1.42,0.0,-6.41,65.2788
July,92.5,1.52,0.0,7.34,60.8153
August,88.75,1.63,-4.05,7.23,54.4145
September,85.0,1.79,-4.23,9.81,47.4595
October,80.0,1.8,-5.88,0.45,44.4692
November,80.0,1.92,0.0,6.5,41.7537
December,80.0,1.94,0.0,1.46,41.1523
January,80.0,2.07,0.0,6.69,38.5728
February,82.5,1.94,3.13,-6.61,42.5916
March,84.7,1.93,2.67,-0.36,43.8860
April,88.0,2.08,3.9,7.72,42.3280
May,88.0,2.23,0.0,7.26,39.4619
June,86.8,2.15,-1.36,-3.77,40.4474
July,86.88,2.14,0.09,-0.28,40.5981
August,87.5,2.15,0.71,0.61,40.6410
September,87.5,2.25,0.0,4.6,38.8544
October,91.25,2.33,4.29,3.55,39.1295
November,92.5,2.05,1.37,-12.18,45.1660
December,99.17,1.8,7.21,-12.06,55.0639
January,102.5,1.85,3.36,2.5,55.5255
February,102.5,1.96,0.0,6.28,52.2426
March,98.5,1.99,-3.9,1.33,49.5473
April,97.5,2.06,-1.02,3.72,47.2842
May,97.5,2.03,0.0,-1.5,48.0059
June,97.5,1.85,0.0,-9.11,52.8169
July,80.0,1.92,-17.95,4.01,41.6667
August,78.0,1.82,-2.5,-5.0,42.7632
September,77.5,1.94,-0.64,6.36,39.9485
October,77.5,1.94,0.0,-0.15,40.0103
November,74.0,1.93,-4.52,-0.21,38.2825
December,72.5,1.99,-2.03,2.85,36.4688
January,72.5,1.86,0.0,-6.64,39.0625
February,72.5,1.62,0.0,-12.61,44.6979
March,71.88,1.19,-0.86,-26.63,60.4034
April,70.75,0.88,-1.57,-26.05,80.3977
May,72.9,0.89,3.04,0.8,82.1872
June,75.0,1.12,2.88,26.72,66.7260
July,75.0,1.24,0.0,10.32,60.4839
August,76.88,1.23,2.51,-1.13,62.7080
September,79.38,1.12,3.25,-8.48,70.7487
October,80.0,1.15,0.78,2.85,69.3241
November,82.5,1.24,3.13,7.54,66.4787
December,83.33,1.44,1.01,16.36,57.7078
January,85.0,1.58,2.0,9.07,53.9683
February,88.13,1.79,3.68,13.52,49.2897
March,96.25,1.85,9.21,3.64,51.9428
April,95.0,1.86,-1.3,0.43,51.0478
May,102.5,2.02,7.89,8.76,50.6423
June,125.0,2.12,21.95,4.79,58.9345
July,125.0,2.13,0.0,0.28,58.7682
August,136.88,2.07,9.5,-2.77,66.1896
September,147.5,2.2,7.76,6.43,67.0150
October,147.5,2.52,0.0,14.63,58.4622
November,153.13,2.39,3.82,-5.23,64.0443
December,176.67,2.25,15.37,-5.86,78.4851
January,173.13,2.62,-2.0,16.22,66.1812
February,172.5,2.87,-0.36,9.79,60.0627
March,178.75,3.78,3.62,31.62,47.2884
April,249.5,4.04,39.58,6.93,61.7269
May,255.0,4.65,2.2,14.94,54.8859
